"ID","cluster"
"AT5G05500","6"
"AT4G17030","6"
"AT1G31770","6"
"AT1G01720","6"
"AT4G15910","6"
"AT1G35720","6"
"AT2G39795","6"
"AT4G11290","6"
"AT4G34710","6"
"AT2G30550","6"
"AT3G56980","6"
"AT1G47960","6"
"AT3G06355","6"
"AT3G61890","6"
"AT2G25150","6"
"AT1G80130","6"
"AT2G38530","6"
"AT5G15970","6"
"AT2G46680","6"
"AT3G01740","6"
"AT5G40800","6"
"AT5G52310","6"
"AT3G63215","6"
"AT1G54160","6"
"AT4G39210","6"
"AT3G09910","6"
"AT3G56970","6"
"AT5G01675","6"
"AT5G10140","6"
"AT3G03815","6"
"AT3G09745","6"
"AT5G17220","6"
"AT3G57010","6"
"AT4G07815","6"
"AT1G67920","6"
"AT1G36370","6"
"AT4G06175","6"
"AT5G15190","6"
"AT4G21926","6"
"AT4G33550","6"
"AT1G54575","6"
"AT3G57540","6"
